date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-08T09:07:54+02:00,TKWM68KG--------------R32-000100--,TKWM68KG,Men -68kg,Men -68kg Qualification Contest,Qualification Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1962479,LO Wai Fung,Person,HKG,"Hong Kong, China",2,POINTS,W,,417
2024-08-08T09:33:26+02:00,TKWM68KG--------------8FNL000100--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1897321,NASSAR Ahmed,Person,EGY,Egypt,0,POINTS,L,,413
2024-08-08T09:33:26+02:00,TKWM68KG--------------8FNL000100--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1893275,ALAPHILIPPE Souleyman,Person,FRA,France,2,POINTS,W,,404
2024-08-08T09:57:46+02:00,TKWM68KG--------------8FNL000200--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1546696,PEREZ POLO Javier,Person,ESP,Spain,2,POINTS,W,,405
2024-08-08T09:57:46+02:00,TKWM68KG--------------8FNL000200--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1903031,TUBTIMDANG Banlung,Person,THA,Thailand,0,POINTS,L,,412
2024-08-08T10:28:22+02:00,TKWM68KG--------------8FNL000300--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1910367,LIANG Yushuai,Person,CHN,China,2,POINTS,W,,409
2024-08-08T10:28:22+02:00,TKWM68KG--------------8FNL000300--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1572266,JOZSA Levente Mark,Person,HUN,Hungary,1,POINTS,L,,408
2024-08-08T10:51:34+02:00,TKWM68KG--------------8FNL000400--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1887714,RASHITOV Ulugbek,Person,UZB,Uzbekistan,2,POINTS,W,,401
2024-08-08T10:51:34+02:00,TKWM68KG--------------8FNL000400--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1962479,LO Wai Fung,Person,HKG,"Hong Kong, China",0,POINTS,L,,417
2024-08-08T11:16:41+02:00,TKWM68KG--------------8FNL000500--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1936310,KASSMAN Kevin Sogo,Person,PNG,Papua New Guinea,0,POINTS,L,,415
2024-08-08T11:16:41+02:00,TKWM68KG--------------8FNL000500--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1896153,SINDEN Bradly,Person,GBR,Great Britain,2,POINTS,W,,402
